Product ID,Product name,File URL,Archive URL,Company name,Product type,"Product carbon footprint (PCF, kg CO2e)",Manufacturing CO2e percentage,Chassis & assembly CO2e percentage,HDD CO2e percentage,SSD CO2e percentage,Power supply unit CO2e percentage,Battery CO2e percentage,Mainboard and other boards CO2e percentage,Display CO2e percentage,Packaging CO2e percentage,ODD CO2e percentage,External components CO2e percentage,Others* CO2e percentage,Manufacturing CO2e,Chassis & assembly CO2e,HDD CO2e,SSD CO2e,Power supply unit CO2e,Battery CO2e,Mainboard and other boards CO2e,Display CO2e,Packaging CO2e,ODD CO2e,External components CO2e,Others* CO2e,Validation notes
1,EliteBook 855 G7,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07525117,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07525117,HP,notebook,190,77,9,-,20,3,4,40,22,1,-,-,0.02,146.3,13.167,-,29.26,4.389,5.852,58.52,32.186,1.463,-,-,2.926,Automatic verified (within 99%-101% tolerance).
2,HP ZHAN 99 Mobile Workstation G4,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08483213,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08483213,HP,notebook,230,69,4.7,-,35.8,5.7,3.2,27.8,20.2,0.2,-,-,0.025,158.7,7.4589,-,56.8146,9.0459,5.0784,44.1186,32.0574,0.3174,-,-,3.9675,Automatic verified (within 99%-101% tolerance).
3,HP Envy Move 23.8 inch All-in-One PC 24-cs ENERGY STAR,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08737946,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08737946,HP,desktop,485,71,3,-,17,2,2,54,17,2,-,0.01,0.02,344.35,10.3305,-,58.5395,6.887,6.887,185.949,58.5395,6.887,-,3.4435,6.887,Automatic verified (within 99%-101% tolerance).
4,HP ZHAN A 14-inch G6 Notebook PC ENERGY STAR,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08741431,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08741431,HP,notebook,290,81,4,-,24,3,3,53,12,-,-,-,0.02,234.9,9.396,-,56.376,7.047,7.047,124.497,28.188,-,-,-,4.698,Automatic verified (within 99%-101% tolerance).
5,HP E24i G4 WUXGA Monitor,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07524887,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07524887,HP,monitor,240,58,30,-,-,8,-,10,47,2,-,-,0.03,139.2,41.76,-,-,11.136,-,13.92,65.424,2.784,-,-,4.176,Automatic verified (within 99%-101% tolerance).
6,HP Slim Desktop PC S01 ENERGY STAR,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08405156,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08405156,HP,desktop,288,54,7.5,12.5,36.5,2.8,-,32.5,-,0.9,-,0.033,0.039,155.52,11.664,19.44,56.7648,4.35456,-,50.544,-,1.39968,-,5.13216,6.06528,Automatic verified (within 99%-101% tolerance).
7,HP P24v G4 FHD Monitor,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07524871,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07524871,HP,monitor,205,52,14,-,-,-,-,30,52,1,-,-,0.02,106.6,14.924,-,-,-,-,31.98,55.432,1.066,-,-,2.132,Automatic verified (within 99%-101% tolerance).
8,HP ZHAN 66 Pro A 14 inch G5 Notebook PC,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08079483,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08079483,HP,notebook,185,77,7.9,-,40,2.7,3.2,21.1,22.6,0.4,-,-,0.022,142.45,11.25355,-,56.98,3.84615,4.5584,30.05695,32.1937,0.5698,-,-,3.1339,Automatic verified (within 99%-101% tolerance).
9,HP ProBook 440 14 inch G10 Notebook PC ENERGY STAR,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08559304,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08559304,HP,notebook,175,65,6.1,-,25.4,3.4,4.1,32,25.4,0.5,-,-,0.031,113.75,6.93875,-,28.8925,3.8675,4.66375,36.4,28.8925,0.56875,-,-,3.52625,Automatic verified (within 99%-101% tolerance).
10,HP V222vb 21.5-inch Monitor,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08155421,https://web.archive.org/web/*/https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c08155421,HP,monitor,175,40,6.4,-,-,9.8,-,6.2,72.4,1.7,-,-,0.035,70,4.48,-,-,6.86,-,4.34,50.68,1.19,-,-,2.45,Automatic verified (within 99%-101% tolerance).
